0.93, 2.93, 1.46 | 0.89, 2.91, 1.39 | -0.00, -0.00, 0.22 | -0.00, -0.00, -0.00
0.93, 2.94, 1.47 | 0.89, 2.92, 1.39 | 0.00, 0.00, 0.22 | -0.00, -0.00, -0.00
0.89, 2.90, 1.40 | 0.89, 2.92, 1.39 | -0.02, 0.00, 0.25 | -0.01, 0.00, -0.00
0.90, 2.92, 1.39 | 0.89, 2.92, 1.39 | -0.02, 0.02, 0.21 | -0.01, 0.01, -0.00
0.88, 2.89, 1.35 | 0.89, 2.91, 1.39 | -0.00, -0.02, 0.24 | -0.01, -0.02, -0.00
0.87, 2.86, 1.38 | 0.89, 2.90, 1.39 | -0.00, -0.01, 0.21 | -0.01, -0.01, -0.00
0.89, 2.89, 1.40 | 0.89, 2.90, 1.39 | -0.02, 0.00, 0.22 | -0.01, -0.00, -0.00
0.91, 2.90, 1.39 | 0.89, 2.90, 1.39 | -0.01, -0.02, 0.20 | -0.01, -0.01, -0.00
0.92, 2.90, 1.34 | 0.89, 2.90, 1.39 | 0.01, -0.00, 0.23 | -0.00, -0.00, -0.00
0.89, 2.89, 1.33 | 0.89, 2.89, 1.39 | -0.00, -0.01, 0.24 | -0.00, -0.01, -0.00
0.88, 2.88, 1.33 | 0.89, 2.89, 1.38 | -0.01, -0.01, 0.22 | -0.01, -0.01, -0.00
0.90, 2.91, 1.36 | 0.89, 2.89, 1.38 | -0.01, -0.00, 0.23 | -0.01, -0.01, -0.00
0.87, 2.88, 1.34 | 0.89, 2.89, 1.38 | -0.00, -0.02, 0.21 | -0.01, -0.02, -0.00
0.86, 2.85, 1.33 | 0.88, 2.88, 1.38 | 0.01, 0.01, 0.23 | -0.00, 0.00, -0.00
0.89, 2.87, 1.33 | 0.88, 2.87, 1.38 | -0.01, -0.01, 0.21 | -0.00, -0.01, -0.00
0.92, 2.89, 1.34 | 0.89, 2.87, 1.38 | -0.00, 0.00, 0.22 | -0.00, 0.00, -0.00
0.92, 2.88, 1.32 | 0.89, 2.87, 1.38 | -0.01, 0.01, 0.22 | -0.01, 0.00, -0.00
0.93, 2.89, 1.33 | 0.90, 2.88, 1.38 | 0.01, 0.01, 0.23 | -0.00, 0.01, -0.00
0.90, 2.88, 1.30 | 0.90, 2.87, 1.37 | -0.01, 0.00, 0.20 | -0.00, 0.01, -0.00
0.92, 2.89, 1.33 | 0.90, 2.88, 1.37 | -0.01, -0.01, 0.21 | -0.00, -0.01, -0.00
0.94, 2.91, 1.37 | 0.91, 2.88, 1.37 | -0.01, 0.01, 0.20 | -0.01, 0.00, -0.00
0.92, 2.89, 1.36 | 0.91, 2.88, 1.37 | 0.01, -0.00, 0.21 | 0.00, -0.00, -0.00
0.89, 2.87, 1.33 | 0.91, 2.88, 1.37 | 0.00, -0.01, 0.23 | 0.00, -0.01, -0.00
0.85, 2.83, 1.32 | 0.90, 2.87, 1.37 | 0.01, -0.01, 0.22 | 0.00, -0.01, -0.00
0.88, 2.86, 1.33 | 0.89, 2.86, 1.37 | 0.00, 0.00, 0.23 | 0.00, 0.00, -0.00
0.89, 2.88, 1.35 | 0.89, 2.86, 1.37 | -0.02, 0.00, 0.23 | -0.01, 0.00, -0.00
0.92, 2.91, 1.39 | 0.90, 2.87, 1.37 | 0.00, 0.00, 0.22 | -0.00, 0.00, -0.00
0.89, 2.88, 1.34 | 0.90, 2.87, 1.37 | -0.01, -0.01, 0.21 | -0.01, -0.01, -0.00
0.91, 2.90, 1.34 | 0.90, 2.88, 1.37 | -0.00, -0.00, 0.19 | -0.00, -0.00, -0.00
0.88, 2.88, 1.31 | 0.89, 2.87, 1.37 | 0.01, -0.01, 0.21 | -0.00, -0.01, -0.00
0.84, 2.86, 1.27 | 0.88, 2.87, 1.37 | -0.00, -0.01, 0.24 | -0.00, -0.01, -0.00
0.86, 2.88, 1.33 | 0.88, 2.87, 1.36 | -0.00, -0.00, 0.24 | -0.00, -0.00, -0.00
0.83, 2.86, 1.30 | 0.87, 2.87, 1.36 | 0.01, 0.01, 0.21 | 0.00, 0.01, -0.00
0.86, 2.88, 1.31 | 0.87, 2.87, 1.36 | -0.02, 0.00, 0.21 | -0.01, 0.00, -0.00
0.85, 2.86, 1.29 | 0.86, 2.87, 1.36 | -0.00, 0.00, 0.23 | -0.00, 0.00, -0.00
0.85, 2.85, 1.32 | 0.86, 2.86, 1.36 | 0.02, 0.00, 0.23 | 0.01, 0.00, -0.00
0.89, 2.87, 1.34 | 0.86, 2.86, 1.36 | -0.01, 0.01, 0.23 | -0.00, 0.01, -0.00
0.91, 2.89, 1.36 | 0.87, 2.87, 1.36 | 0.00, 0.00, 0.24 | 0.00, 0.00, -0.00
0.92, 2.91, 1.37 | 0.88, 2.87, 1.36 | -0.01, -0.00, 0.24 | -0.00, -0.00, -0.00
0.93, 2.92, 1.36 | 0.88, 2.88, 1.36 | -0.01, -0.01, 0.23 | -0.00, -0.01, -0.00
0.95, 2.94, 1.39 | 0.89, 2.89, 1.36 | -0.01, 0.00, 0.22 | -0.01, -0.00, -0.00
0.95, 2.95, 1.38 | 0.91, 2.90, 1.36 | 0.00, 0.00, 0.22 | -0.00, 0.00, -0.00
0.91, 2.92, 1.35 | 0.91, 2.91, 1.36 | 0.01, -0.01, 0.19 | -0.00, -0.01, -0.00
0.88, 2.90, 1.35 | 0.90, 2.91, 1.36 | -0.01, -0.02, 0.24 | -0.01, -0.02, -0.00
0.85, 2.88, 1.33 | 0.89, 2.90, 1.36 | 0.00, -0.00, 0.22 | -0.00, -0.01, -0.00
0.88, 2.91, 1.38 | 0.89, 2.90, 1.36 | 0.01, 0.01, 0.23 | 0.00, 0.01, -0.00
0.91, 2.93, 1.41 | 0.89, 2.91, 1.36 | 0.00, 0.01, 0.21 | 0.00, 0.01, -0.00
0.93, 2.93, 1.40 | 0.90, 2.92, 1.36 | 0.00, -0.00, 0.23 | 0.00, -0.00, -0.00
0.95, 2.94, 1.42 | 0.91, 2.92, 1.36 | 0.01, 0.02, 0.19 | 0.00, 0.01, -0.00
0.96, 2.93, 1.41 | 0.92, 2.93, 1.36 | -0.01, 0.01, 0.22 | 0.00, 0.01, -0.00
0.92, 2.90, 1.39 | 0.92, 2.92, 1.36 | 0.00, -0.01, 0.21 | 0.00, -0.01, -0.00
0.94, 2.92, 1.41 | 0.92, 2.92, 1.36 | -0.00, -0.02, 0.19 | -0.00, -0.02, -0.00
0.90, 2.88, 1.36 | 0.92, 2.92, 1.36 | -0.02, -0.01, 0.22 | -0.01, -0.01, -0.00
0.87, 2.86, 1.34 | 0.91, 2.91, 1.36 | -0.01, -0.02, 0.22 | -0.01, -0.02, -0.00
0.84, 2.86, 1.33 | 0.90, 2.90, 1.36 | -0.00, 0.02, 0.23 | -0.01, 0.01, -0.00
0.87, 2.89, 1.38 | 0.90, 2.89, 1.36 | 0.00, 0.00, 0.23 | -0.00, 0.00, -0.00
0.90, 2.90, 1.39 | 0.90, 2.89, 1.36 | -0.02, 0.02, 0.23 | -0.01, 0.01, -0.00
0.88, 2.87, 1.36 | 0.89, 2.89, 1.36 | -0.01, -0.01, 0.23 | -0.01, -0.01, -0.00
0.86, 2.85, 1.36 | 0.89, 2.88, 1.36 | -0.01, -0.01, 0.20 | -0.01, -0.01, -0.00
0.85, 2.85, 1.33 | 0.88, 2.87, 1.36 | 0.01, 0.00, 0.21 | -0.00, 0.00, -0.00
0.87, 2.88, 1.36 | 0.88, 2.87, 1.36 | 0.01, -0.00, 0.23 | 0.00, -0.00, -0.00
0.87, 2.88, 1.34 | 0.87, 2.87, 1.36 | -0.01, -0.00, 0.23 | -0.00, -0.00, -0.00
0.89, 2.90, 1.35 | 0.87, 2.88, 1.36 | -0.01, -0.00, 0.19 | -0.01, -0.00, -0.00
0.87, 2.90, 1.32 | 0.87, 2.88, 1.36 | 0.01, 0.01, 0.22 | -0.00, 0.01, -0.00
0.87, 2.89, 1.33 | 0.87, 2.88, 1.36 | -0.00, 0.01, 0.23 | -0.00, 0.01, -0.00
0.90, 2.92, 1.36 | 0.87, 2.89, 1.36 | 0.00, 0.01, 0.22 | -0.00, 0.01, -0.00
0.89, 2.89, 1.32 | 0.87, 2.89, 1.36 | 0.00, 0.01, 0.23 | 0.00, 0.01, -0.00
0.86, 2.87, 1.32 | 0.87, 2.88, 1.36 | -0.01, -0.00, 0.22 | -0.00, -0.00, -0.00
0.85, 2.86, 1.29 | 0.87, 2.88, 1.36 | 0.01, -0.00, 0.20 | 0.00, -0.00, -0.00
0.89, 2.87, 1.29 | 0.87, 2.88, 1.36 | 0.00, -0.02, 0.24 | 0.00, -0.02, -0.00
0.87, 2.87, 1.30 | 0.87, 2.88, 1.36 | -0.00, -0.00, 0.23 | 0.00, -0.01, -0.00
0.89, 2.89, 1.35 | 0.87, 2.88, 1.36 | -0.01, -0.01, 0.21 | -0.00, -0.01, -0.00
0.87, 2.88, 1.35 | 0.87, 2.88, 1.36 | 0.01, -0.01, 0.21 | 0.00, -0.01, -0.00
0.89, 2.91, 1.39 | 0.87, 2.88, 1.36 | 0.00, 0.01, 0.23 | 0.00, 0.01, -0.00
0.83, 2.85, 1.46 | 0.87, 2.88, 1.36 | 0.01, -0.00, 0.21 | 0.00, 0.00, -0.00
0.88, 2.88, 1.44 | 0.87, 2.88, 1.36 | -0.02, -0.01, 0.22 | -0.00, -0.01, -0.00
0.90, 2.92, 1.46 | 0.87, 2.88, 1.36 | -0.01, -0.01, 0.20 | -0.01, -0.01, -0.00
0.89, 2.93, 1.43 | 0.87, 2.89, 1.36 | -0.01, -0.01, 0.23 | -0.01, -0.01, -0.00
0.90, 2.93, 1.42 | 0.88, 2.90, 1.36 | 0.00, 0.01, 0.22 | -0.00, 0.01, -0.00
0.89, 2.91, 1.38 | 0.88, 2.90, 1.36 | -0.01, 0.00, 0.23 | -0.01, 0.00, -0.00
0.87, 2.89, 1.34 | 0.88, 2.90, 1.36 | -0.00, -0.00, 0.22 | -0.01, -0.00, -0.00
0.85, 2.87, 1.32 | 0.87, 2.90, 1.36 | 0.00, -0.00, 0.22 | -0.00, -0.00, -0.00
0.88, 2.91, 1.37 | 0.87, 2.90, 1.36 | -0.01, -0.01, 0.23 | -0.01, -0.01, -0.00
0.85, 2.88, 1.36 | 0.87, 2.89, 1.36 | -0.00, -0.00, 0.21 | -0.00, -0.00, -0.00
0.84, 2.86, 1.33 | 0.86, 2.89, 1.36 | -0.02, 0.01, 0.22 | -0.01, 0.00, -0.00
0.85, 2.82, 1.29 | 0.86, 2.87, 1.36 | 0.01, 0.01, 0.23 | -0.00, 0.01, -0.00
0.86, 2.83, 1.31 | 0.86, 2.86, 1.36 | 0.00, -0.00, 0.22 | 0.00, -0.00, -0.00
0.89, 2.86, 1.35 | 0.86, 2.86, 1.36 | -0.02, -0.00, 0.24 | -0.01, -0.00, -0.00
0.92, 2.89, 1.37 | 0.87, 2.87, 1.36 | -0.01, -0.01, 0.22 | -0.01, -0.01, -0.00
0.88, 2.87, 1.35 | 0.87, 2.87, 1.36 | 0.00, -0.01, 0.24 | -0.00, -0.01, -0.00
0.87, 2.88, 1.31 | 0.87, 2.87, 1.36 | -0.00, -0.01, 0.21 | -0.00, -0.01, -0.00
0.85, 2.86, 1.30 | 0.87, 2.86, 1.36 | -0.01, 0.00, 0.23 | -0.01, -0.00, -0.00
0.87, 2.87, 1.29 | 0.87, 2.86, 1.36 | 0.01, -0.01, 0.21 | 0.00, -0.01, -0.00
0.86, 2.86, 1.28 | 0.86, 2.86, 1.36 | 0.00, -0.01, 0.23 | 0.00, -0.01, -0.00
0.89, 2.88, 1.31 | 0.87, 2.86, 1.36 | -0.01, -0.00, 0.22 | -0.00, -0.00, -0.00
0.87, 2.88, 1.31 | 0.87, 2.86, 1.36 | -0.01, -0.00, 0.25 | -0.00, -0.00, -0.00
0.87, 2.85, 1.34 | 0.87, 2.86, 1.35 | -0.03, -0.01, 0.25 | -0.01, -0.01, -0.00
0.86, 2.84, 1.31 | 0.86, 2.86, 1.35 | 0.01, -0.01, 0.20 | -0.01, -0.01, -0.00
0.88, 2.86, 1.35 | 0.87, 2.86, 1.35 | -0.02, -0.01, 0.22 | -0.01, -0.01, -0.00
0.90, 2.88, 1.37 | 0.87, 2.86, 1.35 | -0.00, 0.00, 0.23 | -0.01, -0.00, -0.00
0.92, 2.90, 1.37 | 0.88, 2.87, 1.35 | -0.00, 0.01, 0.23 | -0.01, 0.01, -0.00
0.94, 2.92, 1.37 | 0.89, 2.88, 1.35 | -0.01, -0.00, 0.24 | -0.01, -0.00, -0.00
0.94, 2.93, 1.41 | 0.90, 2.89, 1.36 | 0.01, 0.01, 0.23 | 0.00, 0.01, -0.00
0.95, 2.95, 1.44 | 0.91, 2.90, 1.36 | 0.00, -0.01, 0.21 | 0.00, -0.00, -0.00
0.91, 2.92, 1.37 | 0.91, 2.90, 1.36 | -0.00, 0.00, 0.21 | -0.00, 0.00, -0.00
0.91, 2.90, 1.39 | 0.91, 2.90, 1.36 | -0.00, 0.00, 0.23 | -0.00, 0.00, -0.00
0.92, 2.93, 1.43 | 0.91, 2.91, 1.36 | 0.00, -0.01, 0.23 | -0.00, -0.01, -0.00
0.89, 2.90, 1.37 | 0.91, 2.91, 1.36 | -0.01, -0.01, 0.22 | -0.00, -0.01, -0.00
0.87, 2.88, 1.32 | 0.90, 2.90, 1.36 | -0.02, -0.01, 0.22 | -0.01, -0.01, -0.00
0.86, 2.88, 1.30 | 0.90, 2.90, 1.36 | -0.00, 0.00, 0.22 | -0.01, -0.00, -0.00
0.83, 2.87, 1.29 | 0.88, 2.89, 1.36 | 0.00, -0.02, 0.25 | -0.00, -0.01, -0.00
0.83, 2.87, 1.30 | 0.87, 2.89, 1.35 | 0.00, 0.01, 0.22 | 0.00, 0.00, -0.00
0.84, 2.82, 1.29 | 0.87, 2.87, 1.35 | -0.01, -0.01, 0.22 | -0.00, -0.00, -0.00
0.87, 2.84, 1.31 | 0.87, 2.87, 1.35 | -0.02, -0.00, 0.23 | -0.01, -0.00, -0.00
0.89, 2.88, 1.34 | 0.87, 2.87, 1.35 | 0.00, -0.00, 0.23 | -0.00, -0.00, -0.00
0.87, 2.87, 1.30 | 0.87, 2.87, 1.35 | 0.00, -0.00, 0.20 | -0.00, -0.00, -0.00
0.90, 2.91, 1.34 | 0.87, 2.88, 1.35 | 0.01, 0.01, 0.22 | 0.00, 0.01, -0.00
0.92, 2.92, 1.33 | 0.88, 2.88, 1.35 | -0.01, 0.01, 0.22 | -0.00, 0.01, -0.00
0.93, 2.93, 1.31 | 0.89, 2.89, 1.35 | -0.00, -0.00, 0.23 | -0.00, 0.00, -0.00
0.94, 2.92, 1.31 | 0.89, 2.90, 1.35 | -0.00, -0.02, 0.24 | -0.00, -0.02, -0.00
0.93, 2.87, 1.27 | 0.90, 2.89, 1.35 | 0.00, -0.00, 0.22 | 0.00, -0.00, -0.00
0.89, 2.85, 1.27 | 0.90, 2.89, 1.35 | -0.00, -0.00, 0.24 | -0.00, -0.00, -0.00
0.91, 2.87, 1.30 | 0.90, 2.88, 1.35 | 0.00, -0.01, 0.22 | 0.00, -0.01, -0.00
0.92, 2.89, 1.31 | 0.91, 2.88, 1.35 | -0.02, 0.01, 0.23 | -0.01, 0.01, -0.00
0.94, 2.89, 1.32 | 0.91, 2.88, 1.35 | 0.01, -0.01, 0.23 | 0.00, -0.01, -0.00
0.96, 2.91, 1.34 | 0.92, 2.89, 1.35 | 0.01, -0.01, 0.20 | 0.00, -0.01, -0.00
0.91, 2.88, 1.31 | 0.92, 2.89, 1.34 | 0.01, -0.00, 0.23 | 0.01, -0.00, -0.00
0.93, 2.90, 1.35 | 0.92, 2.89, 1.34 | -0.00, -0.01, 0.23 | 0.00, -0.01, -0.00
0.94, 2.92, 1.40 | 0.93, 2.90, 1.35 | 0.00, 0.00, 0.23 | 0.00, 0.00, -0.00
0.95, 2.93, 1.38 | 0.93, 2.90, 1.35 | 0.01, -0.01, 0.21 | 0.00, -0.01, -0.00
0.91, 2.90, 1.35 | 0.93, 2.90, 1.35 | 0.00, 0.01, 0.22 | 0.00, 0.01, -0.00
0.88, 2.88, 1.31 | 0.92, 2.90, 1.34 | -0.01, 0.01, 0.20 | 0.00, 0.01, -0.00
0.87, 2.84, 1.28 | 0.91, 2.89, 1.34 | 0.00, -0.01, 0.23 | 0.00, -0.01, -0.00
0.83, 2.86, 1.36 | 0.90, 2.88, 1.34 | 0.00, -0.01, 0.22 | 0.00, -0.01, -0.00
0.86, 2.88, 1.35 | 0.89, 2.88, 1.34 | 0.00, -0.01, 0.20 | 0.00, -0.01, -0.00
0.90, 2.91, 1.35 | 0.89, 2.88, 1.34 | -0.01, -0.00, 0.22 | -0.00, -0.00, -0.00
0.91, 2.92, 1.38 | 0.90, 2.89, 1.34 | -0.00, 0.00, 0.22 | -0.00, 0.00, -0.00
0.92, 2.92, 1.35 | 0.90, 2.90, 1.34 | 0.01, -0.01, 0.23 | 0.00, -0.01, -0.00
0.93, 2.93, 1.38 | 0.90, 2.90, 1.34 | -0.01, 0.01, 0.21 | -0.00, 0.00, -0.00
0.94, 2.94, 1.40 | 0.91, 2.91, 1.34 | 0.00, 0.01, 0.23 | -0.00, 0.01, -0.00
0.90, 2.91, 1.34 | 0.91, 2.91, 1.34 | -0.00, 0.02, 0.23 | -0.00, 0.02, -0.00
0.89, 2.89, 1.33 | 0.90, 2.91, 1.34 | 0.00, 0.01, 0.23 | 0.00, 0.01, -0.00
0.85, 2.87, 1.29 | 0.90, 2.90, 1.34 | -0.01, 0.00, 0.22 | -0.00, 0.01, -0.00
0.84, 2.85, 1.26 | 0.88, 2.89, 1.34 | -0.01, -0.01, 0.22 | -0.00, -0.01, -0.00
0.82, 2.82, 1.24 | 0.87, 2.88, 1.34 | -0.01, 0.00, 0.23 | -0.00, 0.00, -0.00
0.86, 2.87, 1.32 | 0.87, 2.88, 1.34 | -0.01, 0.01, 0.21 | -0.00, 0.01, -0.00
0.84, 2.86, 1.30 | 0.86, 2.87, 1.34 | 0.00, -0.00, 0.22 | -0.00, -0.00, -0.00
0.87, 2.88, 1.31 | 0.86, 2.87, 1.34 | 0.01, 0.00, 0.23 | 0.00, 0.00, -0.00
0.85, 2.85, 1.27 | 0.86, 2.87, 1.34 | 0.01, -0.02, 0.21 | 0.01, -0.01, -0.00
0.84, 2.85, 1.28 | 0.85, 2.86, 1.33 | -0.01, 0.01, 0.24 | 0.00, 0.00, -0.00
0.87, 2.87, 1.31 | 0.85, 2.86, 1.33 | 0.01, -0.01, 0.23 | 0.00, -0.01, -0.00
0.92, 2.92, 1.37 | 0.86, 2.87, 1.33 | -0.00, 0.01, 0.22 | 0.00, 0.01, -0.00
0.93, 2.94, 1.41 | 0.87, 2.89, 1.34 | -0.00, -0.00, 0.21 | -0.00, 0.00, -0.00
0.93, 2.93, 1.39 | 0.88, 2.89, 1.34 | -0.01, -0.02, 0.24 | -0.00, -0.02, -0.00
0.89, 2.90, 1.37 | 0.88, 2.90, 1.34 | -0.01, -0.01, 0.23 | -0.01, -0.01, -0.00
0.87, 2.88, 1.34 | 0.88, 2.89, 1.34 | -0.00, 0.01, 0.21 | -0.00, 0.01, -0.00
0.85, 2.86, 1.34 | 0.88, 2.89, 1.34 | 0.01, -0.01, 0.23 | 0.00, -0.00, -0.00
0.84, 2.85, 1.33 | 0.87, 2.88, 1.34 | 0.00, -0.01, 0.23 | 0.00, -0.01, -0.00
0.85, 2.85, 1.30 | 0.86, 2.87, 1.34 | -0.02, 0.01, 0.23 | -0.01, 0.01, -0.00
0.84, 2.83, 1.32 | 0.86, 2.86, 1.33 | 0.01, -0.01, 0.22 | -0.00, -0.01, -0.00
0.87, 2.87, 1.35 | 0.86, 2.86, 1.33 | -0.01, 0.00, 0.24 | -0.01, 0.00, -0.00
0.85, 2.85, 1.30 | 0.86, 2.86, 1.33 | 0.01, -0.01, 0.22 | -0.00, -0.01, -0.00
0.83, 2.85, 1.27 | 0.85, 2.86, 1.33 | 0.00, -0.01, 0.25 | 0.00, -0.01, -0.00
0.82, 2.84, 1.25 | 0.84, 2.85, 1.33 | 0.02, 0.01, 0.24 | 0.01, 0.01, -0.00
0.80, 2.82, 1.25 | 0.83, 2.84, 1.33 | -0.00, -0.01, 0.22 | 0.01, -0.00, -0.00
0.83, 2.86, 1.28 | 0.83, 2.84, 1.33 | -0.00, -0.02, 0.22 | 0.00, -0.02, -0.00
0.82, 2.85, 1.29 | 0.83, 2.84, 1.33 | 0.01, -0.00, 0.22 | 0.01, -0.01, -0.00
0.85, 2.86, 1.29 | 0.83, 2.85, 1.33 | -0.01, 0.00, 0.24 | 0.00, 0.00, -0.00
0.83, 2.85, 1.28 | 0.83, 2.85, 1.32 | 0.01, -0.01, 0.20 | 0.00, -0.01, -0.00
0.87, 2.88, 1.31 | 0.83, 2.85, 1.32 | 0.00, -0.00, 0.21 | 0.00, -0.00, -0.00
0.87, 2.83, 1.29 | 0.84, 2.84, 1.32 | -0.01, -0.00, 0.24 | -0.00, -0.00, -0.00
0.89, 2.86, 1.34 | 0.84, 2.85, 1.32 | -0.02, -0.01, 0.22 | -0.01, -0.01, -0.00
0.87, 2.85, 1.31 | 0.85, 2.84, 1.32 | 0.01, -0.03, 0.24 | -0.00, -0.02, -0.00
0.89, 2.89, 1.36 | 0.86, 2.85, 1.32 | -0.01, 0.01, 0.23 | -0.01, 0.01, -0.00
0.87, 2.88, 1.34 | 0.86, 2.86, 1.32 | 0.00, 0.00, 0.22 | -0.00, 0.00, -0.00
0.90, 2.90, 1.35 | 0.87, 2.86, 1.32 | 0.02, 0.01, 0.19 | 0.00, 0.01, -0.00
0.91, 2.93, 1.42 | 0.87, 2.88, 1.32 | -0.01, 0.00, 0.22 | -0.00, 0.01, -0.00
0.88, 2.90, 1.39 | 0.88, 2.88, 1.32 | 0.01, 0.00, 0.22 | 0.00, 0.00, -0.00
0.91, 2.92, 1.40 | 0.88, 2.89, 1.33 | -0.00, 0.00, 0.23 | 0.00, 0.00, -0.00
0.88, 2.88, 1.35 | 0.88, 2.89, 1.33 | -0.00, -0.01, 0.24 | 0.00, -0.01, -0.00
0.86, 2.87, 1.31 | 0.88, 2.89, 1.33 | -0.01, -0.00, 0.21 | -0.00, -0.00, -0.00
0.85, 2.87, 1.33 | 0.88, 2.88, 1.33 | 0.01, 0.01, 0.23 | 0.00, 0.00, -0.00
0.88, 2.89, 1.32 | 0.88, 2.89, 1.32 | -0.01, 0.02, 0.23 | -0.00, 0.02, -0.00
0.86, 2.87, 1.28 | 0.88, 2.88, 1.32 | 0.01, -0.00, 0.22 | 0.00, 0.00, -0.00
0.89, 2.90, 1.32 | 0.88, 2.89, 1.32 | 0.01, -0.00, 0.24 | 0.00, -0.00, -0.00
0.89, 2.89, 1.33 | 0.88, 2.89, 1.32 | -0.01, 0.01, 0.23 | -0.00, 0.01, -0.00
0.88, 2.88, 1.35 | 0.88, 2.89, 1.32 | -0.01, -0.01, 0.21 | -0.00, -0.00, -0.00
0.91, 2.89, 1.38 | 0.89, 2.89, 1.32 | -0.01, -0.01, 0.23 | -0.00, -0.01, -0.00
0.90, 2.89, 1.37 | 0.89, 2.89, 1.32 | -0.00, -0.00, 0.19 | -0.00, -0.00, -0.00
0.92, 2.90, 1.37 | 0.89, 2.89, 1.33 | 0.01, -0.00, 0.24 | 0.00, -0.00, -0.00
0.93, 2.91, 1.37 | 0.90, 2.90, 1.33 | 0.00, -0.00, 0.21 | 0.00, -0.00, -0.00
0.93, 2.93, 1.38 | 0.91, 2.90, 1.33 | -0.00, -0.01, 0.25 | -0.00, -0.01, -0.00
0.89, 2.90, 1.35 | 0.91, 2.90, 1.33 | -0.00, 0.00, 0.22 | -0.00, -0.00, -0.00
0.90, 2.91, 1.35 | 0.91, 2.91, 1.33 | 0.00, 0.01, 0.21 | 0.00, 0.01, -0.00
0.91, 2.91, 1.34 | 0.91, 2.91, 1.33 | 0.01, 0.01, 0.23 | 0.00, 0.01, -0.00
0.93, 2.93, 1.38 | 0.91, 2.91, 1.33 | -0.00, 0.03, 0.25 | 0.00, 0.02, -0.00
0.89, 2.90, 1.34 | 0.91, 2.91, 1.33 | 0.01, -0.00, 0.23 | 0.00, -0.00, -0.00
0.92, 2.93, 1.37 | 0.91, 2.92, 1.33 | 0.01, -0.00, 0.21 | 0.01, -0.00, -0.00
0.94, 2.94, 1.39 | 0.92, 2.92, 1.33 | -0.01, -0.00, 0.22 | -0.00, -0.00, -0.00
0.91, 2.91, 1.34 | 0.92, 2.92, 1.33 | -0.02, -0.00, 0.22 | -0.01, -0.00, -0.00
0.90, 2.90, 1.35 | 0.92, 2.92, 1.33 | -0.00, -0.02, 0.21 | -0.00, -0.02, -0.00
